Datum;Zeit;Terminal;Schlüssel;EAN;Produkt;Kategorie;Preis;MwSt;Kundennummer
2025-03-29;11:15;A;0009854787;87126853;"Coca Cola 0.33l";Getränke;1.10;19;
2025-03-29;12:18;A;0014252568;87126853;"Coca Cola 0.33l";Getränke;1.10;19;
2025-03-29;13:08;A;0011454183;1;Essen;Speisen;4.00;19;
2025-03-29;13:10;A;0009825902;87126853;"Coca Cola 0.33l";Getränke;1.10;19;
2025-03-29;13:13;A;0006107633;1;Essen;Speisen;4.00;19;
2025-03-29;13:13;A;0011050391;1;Essen;Speisen;4.00;19;
2025-03-29;13:17;A;0016381852;1;Essen;Speisen;4.00;19;
2025-03-29;13:18;A;0016381852;87126853;"Coca Cola 0.33l";Getränke;1.10;19;
2025-03-29;13:30;A;0016526365;2;Kaffee;Speisen;0.50;19;
2025-03-29;13:32;A;0016233192;1;Essen;Speisen;4.00;19;
2025-03-29;13:33;A;0009839906;2;Kaffee;Speisen;0.50;19;
2025-03-29;13:34;A;0011050391;2;Kaffee;Speisen;0.50;19;
2025-03-29;13:37;A;0009841728;1;Essen;Speisen;4.00;19;
2025-03-29;13:38;A;0009839906;4014472280132;"Bionade Naturtrüb Blutorange 0.33l";Getränke;1.30;19;
2025-03-29;13:38;A;0011454183;2;Kaffee;Speisen;0.50;19;
2025-03-29;13:38;A;0014268305;2;Kaffee;Speisen;0.50;19;
2025-03-29;13:52;A;0014268305;2;Kaffee;Speisen;0.50;19;
2025-03-29;13:54;A;0009880987;1;Essen;Speisen;4.00;19;
2025-03-29;13:55;A;0003037083;1;Essen;Speisen;4.00;19;
2025-03-29;13:55;A;0003037083;87126853;"Coca Cola 0.33l";Getränke;1.10;19;
2025-03-29;13:55;A;0016077912;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19;
2025-03-29;14:16;A;0009854787;87126853;"Coca Cola 0.33l";Getränke;1.10;19;
2025-03-29;14:24;A;0016352584;1;Essen;Speisen;4.00;19;
2025-03-29;14:55;A;0011454183;2;Kaffee;Speisen;0.50;19;
2025-04-14;17:45;X;0014252568;1;Essen;Speisen;5.50;19;
2025-04-14;17:57;X;0014252568;1;Essen;Speisen;5.50;19;442234
2025-04-15;17:41;X;0014252568;1;Essen;Speisen;5.50;19;442234
2025-04-15;17:51;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;17:53;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;17:54;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;17:54;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;17:55;X;0014252568;4463500000000;Gastflug;Flugbetrieb;30.00;19;442234
2025-04-15;17:56;X;0014252568;4463300210009;"ICAO Wettbewerbskarte Mitglied";Merchendise;12.00;19;442234
2025-04-15;17:58;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;17:59;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;17:59;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;18:08;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:09;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;18:11;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;18:11;X;0014252568;4463500000000;Gastflug;Flugbetrieb;30.00;19;442234
2025-04-15;18:15;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:16;X;0014252568;4463500000000;Gastflug;Flugbetrieb;30.00;19;442234
2025-04-15;18:17;X;0014252568;4463500000000;Gastflug;Flugbetrieb;30.00;19;442234
2025-04-15;18:18;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;18:23;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:24;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;18:42;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;18:43;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:44;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;18:47;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:48;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;18:49;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:51;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:51;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:52;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;18:53;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;18:54;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:55;X;0014252568;3;Kuchen;Speisen;1.00;19;442234
2025-04-15;18:57;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;18:57;X;0014252568;1;Essen;Speisen;7.00;19;442234
2025-04-15;18:58;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;18:59;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
2025-04-15;18:59;X;0014252568;2;Kaffee;Speisen;0.50;19;442234
2025-04-15;19:01;X;0014252568;4463300320005;"Kullerkasten gemischt";Getränke;23.00;19;442234
